               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************

     PROJECT                  SPDF
     DISCIPLINE               Space Physics>Interplanetary Studies
     SOURCE_NAME              OMNI (1AU IP Data)>Merged 1 Hour Interplantary OMNI data in RTN system
     DATA_TYPE                COHO1HR>Definitive Hourly data from cohoweb
     DESCRIPTOR               merged magnetic field and plasma data from cohoweb
     DATA_VERSION             1
     TITLE                    Near-Earth Heliosphere Data (OMNI)
     TEXT                     Hourly averaged definitive multispacecraft interplanetary parameters data
                              The Heliographic Inertial (HGI) coordinates are Sun-centered and inertially                            
                               fixed with respect to an X-axis directed along the intersection line of the                           
                               ecliptic and solar equatorial  planes. The solar equator plane is inclined                            
                               at 7.25 degrees from the ecliptic. This direction was towards ecliptic longitude                      
                               of 74.367 degrees on 1 January 1900 at 1200 UT; because of precession of the                          
                               celestial equator, this longitude increases by 1.4 degrees/century. The Z axis                        
                                is  directed perpendicular and northward from the solar equator, and the Y-axis                      
                               completes the right-handed set. This system differs from the usual heliographic                       
                               coordinates (e.g. Carrington longitudes) which are fixed in the frame of the                          
                               rotating Sun.                                                                                         
                              The RTN system is fixed at a spacecraft (or the planet). The R axis is directed                        
                               radially away from the Sun, the T axis is the cross product of the solar rotation                     
                               axis and the R axis, and the N axis is the cross product of the R and T axes.                         
                                At zero heliographic latitude, when the spacecraft is in the solar equatorial                        
                               plane, the N and solar rotation axes are parallel.                                                    
                              Latitude and longitude angles of solar wind plasma flow are generally measured                         
                                from the radius vector away from the Sun. In all cases, latitude angles are                          
                               positive for north-going flow.  The flow longitude angles have been treated                           
                               differently for the near-Earth data, i.e. the OMNI, and for the deep space                            
                               data. The flow is positive for the  near-Earth data when coming from the right                        
                               side of the Sun as viewed  from  the Earth, i.e. flowing toward +Y from -X                            
                               GSE or opposite to the direction of planetary motion. On the other hand, the                          
                               flow longitudes for the deep space spacecraft use the opposite sign convection,                       
                               i.e. positive for flow in the +T direction in the RTN system.                                         
     MODS                     created July 2007;
                              conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
                              Time tags in CDAWeb version were modified in March 2005 to use the
                              CDAWeb convention of having mid-average time tags rather than OMNI's
                              original convention of start-of-average time tags.
     PI_NAME                  J.H. King, N. Papatashvilli
     PI_AFFILIATION           AdnetSystems, NASA GSFC
     GENERATION_DATE          Ongoing
     ACKNOWLEDGEMENT          NSSDC
     ADID_REF                 NSSD0110
     RULES_OF_USE             Public
     INSTRUMENT_TYPE          Plasma and Solar Wind
                              Magnetic Fields (space)
     GENERATED_BY             King/Papatashvilli
     TIME_RESOLUTION          1 hour
     LOGICAL_FILE_ID          omni_coho1hr_merged_mag_plasma_00000000_v01
     LOGICAL_SOURCE           omni_coho1hr_merged_mag_plasma
     LOGICAL_SOURCE_DESCR     OMNI Combined merged hourly magnetic field, plasma and ephermis data
     LINK_TEXT                COHO dataset
                              Additional analysis tools for these data from the
     LINK_TITLE               Documentation
                              COHOWeb service
     HTTP_LINK                http://cohoweb.gsfc.nasa.gov/html/cw_data.html
                              http://cohoweb.gsfc.nasa.gov
     ALT_LOGICAL_SOURCE       Combined_OMNI_1AU-MagneticField-Plasma-Particles_mrg1hr_1hour_cdf
     MISSION_GROUP            OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
                              ACE
                              Wind
                              IMP (All)
                              !___Interplanetary Data near 1 AU

               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************

 1. Epoch Time
 2. HelioGraphic Inertial (HGI) latitude
 3. HGI longitude
 4. BR in RTN (Radial-Tangential-Normal) coordinate system
 5. BT in RTN coordinate system
 6. BN in RTN coordinate system
 7. Field Magnitude Average |B  1/N SUM |B|
 8. Bulk Flow Speed
 9. Proton flow elevation angle / latitude (RTN)
10. Proton flow azimuth angle / longitude (RTN)
11. Ion Density
12. Temperature

EPOCH_TIME              HELIOGRAPHIC_LATITUDE HELIOGRAPHIC_LONGITUDE      BR_(RTN)      BT_(RTN)      BN_(RTN) FIELD_MAGNITUDE_AVG. BULK_FLOW_SPEED ELEVATION_ANGLE AZIMUTH_ANGLE   ION_DENSITY   TEMPERATURE
dd-mm-yyyy_hh:mm:ss.ms                    deg                    deg            nT            nT            nT                   nT            km/s             Deg           Deg         N/cm3         Deg_K
01-11-1995 00:00:00.000               4.50000                321.800       6.00000      -6.10000       1.10000              9.30000         421.000        -1.20000       2.80000       11.0000       146846.
01-11-1995 01:00:00.000               4.50000                321.900       1.60000      -6.10000      -5.50000              9.00000         429.000         1.10000       3.10000       9.90000       130026.
01-11-1995 02:00:00.000               4.50000                321.900       3.10000      -7.70000      -2.30000              9.20000         430.000         2.10000       3.00000       9.10000       131817.
01-11-1995 03:00:00.000               4.50000                322.000       3.40000      -6.90000      -4.50000              9.10000         443.000         2.20000       2.50000       9.70000       134071.
01-11-1995 04:00:00.000               4.50000                322.000       3.20000      -5.40000      -2.40000              7.90000         471.000         3.10000       1.10000       9.60000       183565.
01-11-1995 05:00:00.000               4.50000                322.100       2.00000      -4.60000      -1.50000              8.60000         537.000         1.10000      -6.30000       6.70000       263358.
01-11-1995 06:00:00.000               4.50000                322.100       3.90000      -4.00000      0.200000              7.90000         547.000         3.40000      -5.90000       7.60000       271132.
01-11-1995 07:00:00.000               4.50000                322.100       7.50000      0.100000       5.40000              9.50000         556.000         2.70000      -4.00000       6.40000       277904.
01-11-1995 08:00:00.000               4.50000                322.200       7.30000      -5.60000       2.00000              9.80000         565.000         2.70000      -2.60000       6.40000       252536.
01-11-1995 09:00:00.000               4.50000                322.200       6.60000      -1.20000       2.30000              7.30000         577.000        0.800000      -1.60000       3.90000       197255.
01-11-1995 10:00:00.000               4.50000                322.300       6.60000     -0.500000       1.20000              6.80000         595.000         1.70000      -1.60000       3.50000       177969.
01-11-1995 11:00:00.000               4.40000                322.300       4.60000      -2.60000      0.200000              5.60000         604.000         1.00000      -1.80000       3.90000       193051.
01-11-1995 12:00:00.000               4.40000                322.300       2.20000      -4.30000      -1.40000              5.60000         605.000         1.00000      -1.60000       4.60000       191856.
01-11-1995 13:00:00.000               4.40000                322.400       2.40000      -1.70000      0.200000              4.40000         597.000        0.600000      -2.30000       5.80000       225287.
01-11-1995 14:00:00.000               4.40000                322.400       2.60000       1.80000       3.00000              5.00000         595.000        0.100000      -2.40000       6.50000       209906.
01-11-1995 15:00:00.000               4.40000                322.500       2.80000      0.500000       3.00000              5.00000         598.000        0.400000      -2.20000       5.40000       213366.
01-11-1995 16:00:00.000               4.40000                322.500       2.70000      -1.80000       2.40000              5.30000         599.000        0.300000      -1.40000       5.50000       220085.
01-11-1995 17:00:00.000               4.40000                322.600       2.60000      -3.40000      0.100000              5.70000         600.000        0.400000     -0.300000       4.80000       212483.
01-11-1995 18:00:00.000               4.40000                322.600       1.20000      -5.70000      -1.70000              6.50000         634.000         2.10000      0.100000       4.20000       218433.
01-11-1995 19:00:00.000               4.40000                322.600       2.10000      -5.80000       1.40000              6.60000         618.000        0.300000       1.10000       3.90000       180643.
01-11-1995 20:00:00.000               4.40000                322.700       2.70000      -3.60000       1.60000              5.90000         603.000        0.100000      -1.50000       4.30000       219442.
01-11-1995 21:00:00.000               4.40000                322.700       1.40000      -3.60000      0.600000              5.50000         603.000         1.00000     -0.900000       4.60000       221341.
01-11-1995 22:00:00.000               4.40000                322.800       2.80000      -4.20000       1.80000              6.10000         584.000        0.500000      -1.20000       4.50000       202347.
01-11-1995 23:00:00.000               4.40000                322.800       4.10000      -3.90000      0.800000              6.60000         581.000         1.40000      -1.30000       4.90000       188319.
02-11-1995 00:00:00.000               4.40000                322.800       6.30000      -1.40000      0.200000              6.60000         582.000         1.90000      -2.10000       5.00000       182088.
02-11-1995 01:00:00.000               4.40000                322.900       5.10000      -1.80000      -1.40000              6.30000         585.000         2.10000      -2.20000       5.30000       182416.
02-11-1995 02:00:00.000               4.40000                322.900       5.80000       1.20000      0.500000              6.00000         593.000         1.40000      -2.60000       5.50000       172146.
02-11-1995 03:00:00.000               4.40000                323.000       2.80000      -4.50000     -0.600000              6.20000         570.000        0.800000      -1.00000       4.60000       178615.
02-11-1995 04:00:00.000               4.40000                323.000     -0.400000      -5.60000      -2.30000              6.70000         583.000         1.80000     -0.400000       4.50000       147121.
02-11-1995 05:00:00.000               4.40000                323.100      -1.30000      -5.00000      -2.40000              6.10000         584.000         1.50000     -0.900000       4.90000       155147.
02-11-1995 06:00:00.000               4.40000                323.100       1.40000      -4.50000      -2.10000              5.80000         575.000         1.30000     -0.900000       5.20000       164173.
