               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************

     PROJECT                  STP>Solar Terrestrial Probes
     SOURCE_NAME              stb>Solar Terrestrial Relations Observatory Behind the Sun-Earth Line
     DISCIPLINE               Solar Physics>Heliospheric Physics
     DATA_TYPE                COHO1HR>1 Hour Time Resolution from cohoweb
     DESCRIPTOR               MAG_PLASMA>Merged Trajectory, Magnetic Field, and Plasma
     DATA_VERSION             1
     TEXT                     The Solar-Terrestrial Relations Observatory (STEREO) mission includes two spacecraft                   
     TEXT                      respectively lagging (STEREO A) and leading (STEREO B) the Earth in heliocentric                      
     TEXT                      orbit around the Sun for remote 3-D imaging and radio observations of coronal                         
     TEXT                      mass ejections (CMEs).  These events are responsible for large solar energetic                        
     TEXT                      particle events in interplanetary space and are the primary cause of major                            
     TEXT                      geomagnetic storms at Earth. The two spacecraft are launched to drift slowly                          
     TEXT                      away from the Earth in opposite directions at about 10 degrees per year for                           
     TEXT                      the lagging spacecraft and 20 degrees per year for the leading one. Optimal                           
     TEXT                      longitudinal separation of about sixty degrees is achieved after two years.                           
     TEXT                      Afterwards the separation gradually increases beyond the design lifetime of                           
     TEXT                      two years with the possibility of extended mission observations at larger angles.                     
     TEXT                      Science instruments selected for STEREO include the Sun Earth Connection Coronal                      
     TEXT                      and Heliospheric Investigation (SECCHI) for extreme ultraviolet (EUV), white-light                    
     TEXT                      coronographic, and heliospheric imaging, the STEREO/WAVES (SWAVES) interplanetary                     
     TEXT                      radio burst tracker, the In situ Measurements of Particles and CME Transients                         
     TEXT                      (IMPACT) investigation for in-situ sampling the 3-D distribution and plasma                           
     TEXT                      characteristics of solar energetic particles and the interplanetary magnetic                          
     TEXT                      field, and the PLAsma and SupraThermal Ion and Composition (PLASTIC) experiment                       
     TEXT                      to measure elemental and charge composition of ambient and CME plasma ions.                           
     TEXT                      STEREO data recorded and stored onboard each spacecraft will be downlinked                            
     TEXT                      through the NASA Deep Space Network on a daily schedule. Real-time space weather                      
     TEXT                      data will be continuously transmitted through a separate beacon system to NASA                        
                               and non-NASA receiving stations.                                                                      
                              About STEREO data in COHOWEB STEREO-A and -B data are from the magnetometer                            
                               of the IMPACT package and from the PLASTIC plasma detector.  Principal Investigators                  
                               for these packages are Janet Luhmann (UCB) and Antoinette Galvin (UNH), respectively.                 
                                Magnetic field  data were obtained as 10-min averages from the UCLA web site                         
                               at http://aten.igpp.ucla.edu/forms/stereo/ascii_PLASTIC_10m_new.html, courtesy                        
                               of C.T. Russell.  COHOWeb's magnetic field hourly averages were created at                            
                               GSFC/SPDF by averaging over the six 10-min averages falling within each hour.                         
                                Hourly plasma parameter data, including plasma flow direction angles for STEREO-A                    
                               but not yet for STEREO B (as of 7/11/2010), were obtained from UNH via http://fiji.sr.unh.edu/1dmax_as
     NSSDC_ID                 2006-047A
     LOGICAL_FILE_ID          stb_coho1hr_merged_mag_plasma_00000000_v01
     LOGICAL_SOURCE           stb_coho1hr_merged_mag_plasma
     LOGICAL_SOURCE_DESCR     Merged hourly magnetic field, plasma and ephermis data
     PI_NAME                  Natasha Papitashvili
     PI_AFFILIATION           NASA/GSFC
     MISSION_GROUP            STEREO
     INSTRUMENT_TYPE          Magnetic Fields (space)
                              Plasma and Solar Wind
                              Ephemeris
     TIME_RESOLUTION          1 hour
     LINK_TEXT                COHO dataset
                              Additional analysis tools for these data from the
     LINK_TITLE               Documentation
                              COHOWeb service
     HTTP_LINK                http://cohoweb.gsfc.nasa.gov/html/cw_data.html
                              http://cohoweb.gsfc.nasa.gov

               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************

 1. Time, beginning of interval
 2. Radial Distance
 3. HelioGraphic Inertial (HGI) latitude of the spacecraft position at the start of data interval
 4. HelioGraphic Inertial (HGI) longitude of the spacecraft position at the start of data interval
 5. IMF BR in RTN (Radial-Tangential-Normal) coordinate system
 6. IMF BT in RTN coordinate system
 7. IMF BN in RTN coordinate system
 8. B scalar
 9. SW plasma speed
10. SW lat angle in RTN coordinate system
11. SW lon angle in RTN coordinate system
12. SW plasma density
13. SW plasma Temperature

EPOCH                   RADIAL_DISTANCE       HGI_LAT      HGI_LONG      BR_(RTN)      BT_(RTN)      BN_(RTN)             B  PLASMA_SPEED  SW_LAT_(RTN)  SW_LON_(RTN) SW_PLASMA_DENS SW_PLASMA_TEMP
dd-mm-yyyy_hh:mm:ss.ms               AU           deg           deg            nT            nT            nT            nT          km/s           deg           deg          N/cm3          deg_K
01-11-2007 00:00:00.000         1.05000       6.20000       303.700     -0.920000      -2.29000      0.240000       2.71000       356.000  -1.00000E+31  -1.00000E+31        4.04000        39900.0
01-11-2007 01:00:00.000         1.05000       6.20000       303.700      -1.40000      -1.78000      0.540000       2.46000       363.000  -1.00000E+31  -1.00000E+31        4.36000        40400.0
01-11-2007 02:00:00.000         1.05000       6.20000       303.800      -1.35000      -2.17000      0.670000       2.85000       360.000  -1.00000E+31  -1.00000E+31        4.05000        41900.0
01-11-2007 03:00:00.000         1.05000       6.20000       303.800      0.510000      -2.68000     -0.260000       2.81000       354.000  -1.00000E+31  -1.00000E+31        3.72000        52000.0
01-11-2007 04:00:00.000         1.05000       6.20000       303.900      0.460000      -2.30000      0.830000       2.59000       350.000  -1.00000E+31  -1.00000E+31        4.33000        68300.0
01-11-2007 05:00:00.000         1.05000       6.20000       303.900      0.330000      -2.03000      0.850000       2.52000       350.000  -1.00000E+31  -1.00000E+31        3.81000        59900.0
01-11-2007 06:00:00.000         1.05000       6.20000       303.900       1.32000      -1.23000      -1.04000       2.49000       356.000  -1.00000E+31  -1.00000E+31        2.92000        56500.0
01-11-2007 07:00:00.000         1.05000       6.20000       304.000      0.510000      -1.75000      0.410000       2.20000       352.000  -1.00000E+31  -1.00000E+31        3.56000        53500.0
01-11-2007 08:00:00.000         1.05000       6.20000       304.000     -0.360000      -1.11000       1.18000       1.88000       351.000  -1.00000E+31  -1.00000E+31        3.52000        49000.0
01-11-2007 09:00:00.000         1.05000       6.20000       304.000      0.940000     -0.750000      0.900000       1.77000       355.000  -1.00000E+31  -1.00000E+31        3.28000        54300.0
01-11-2007 10:00:00.000         1.05000       6.20000       304.100      0.990000      -1.46000      0.910000       2.03000       352.000  -1.00000E+31  -1.00000E+31        3.33000        54400.0
01-11-2007 11:00:00.000         1.05000       6.20000       304.100       1.12000      -1.18000      0.180000       1.80000       351.000  -1.00000E+31  -1.00000E+31        3.48000        58100.0
01-11-2007 12:00:00.000         1.05000       6.20000       304.200       1.16000     -0.360000     -0.130000       1.59000       350.000  -1.00000E+31  -1.00000E+31        3.65000        61600.0
01-11-2007 13:00:00.000         1.05000       6.20000       304.200      0.530000      -1.12000      0.670000       1.67000       349.000  -1.00000E+31  -1.00000E+31        3.79000        56100.0
01-11-2007 14:00:00.000         1.05000       6.20000       304.200      -1.15000     -0.930000       1.30000       2.09000       339.000  -1.00000E+31  -1.00000E+31        4.82000        62700.0
01-11-2007 15:00:00.000         1.05000       6.20000       304.300     -0.460000      -1.02000       1.30000       2.15000       339.000  -1.00000E+31  -1.00000E+31        4.85000        64800.0
01-11-2007 16:00:00.000         1.05000       6.20000       304.300     0.0800000      -1.53000       1.42000       2.28000       338.000  -1.00000E+31  -1.00000E+31        5.10000        61900.0
01-11-2007 17:00:00.000         1.05000       6.20000       304.300      0.110000      -1.96000       1.21000       2.39000       338.000  -1.00000E+31  -1.00000E+31        5.41000        57100.0
01-11-2007 18:00:00.000         1.05000       6.20000       304.400     0.0900000      -2.36000      0.620000       2.60000       335.000  -1.00000E+31  -1.00000E+31        5.74000        60500.0
01-11-2007 19:00:00.000         1.05000       6.20000       304.400     -0.980000      -2.55000      0.660000       2.86000       330.000  -1.00000E+31  -1.00000E+31        6.83000        54200.0
01-11-2007 20:00:00.000         1.05000       6.20000       304.500      0.280000      -3.28000     0.0900000       3.45000       329.000  -1.00000E+31  -1.00000E+31        7.63000        68200.0
01-11-2007 21:00:00.000         1.05000       6.20000       304.500     -0.290000      -2.93000      0.150000       3.33000       337.000  -1.00000E+31  -1.00000E+31        7.28000        64400.0
01-11-2007 22:00:00.000         1.05000       6.20000       304.500     -0.400000      -2.87000     0.0900000       2.94000       339.000  -1.00000E+31  -1.00000E+31        7.83000        58200.0
01-11-2007 23:00:00.000         1.05000       6.20000       304.600     0.0200000      -2.91000      0.180000       2.97000       333.000  -1.00000E+31  -1.00000E+31        8.18000        60600.0
02-11-2007 00:00:00.000         1.05000       6.20000       304.600     -0.120000      -2.82000      0.200000       2.89000       333.000  -1.00000E+31  -1.00000E+31        8.45000        59000.0
02-11-2007 01:00:00.000         1.05000       6.20000       304.600     -0.420000      -2.45000      0.310000       3.00000       336.000  -1.00000E+31  -1.00000E+31        8.67000        51800.0
02-11-2007 02:00:00.000         1.05000       6.20000       304.700      0.710000      -2.86000     -0.100000       3.24000       338.000  -1.00000E+31  -1.00000E+31        6.98000        55400.0
02-11-2007 03:00:00.000         1.05000       6.20000       304.700       2.23000      -2.42000     -0.660000       3.39000       334.000  -1.00000E+31  -1.00000E+31        6.62000        59900.0
02-11-2007 04:00:00.000         1.05000       6.20000       304.800       2.72000      -1.23000      -1.19000       3.32000       325.000  -1.00000E+31  -1.00000E+31        7.00000        61300.0
02-11-2007 05:00:00.000         1.05000       6.20000       304.800       2.69000    -0.0200000      -2.11000       3.44000       319.000  -1.00000E+31  -1.00000E+31        7.00000        52400.0
02-11-2007 06:00:00.000         1.05000       6.20000       304.800       2.51000     -0.810000      -2.48000       3.66000       315.000  -1.00000E+31  -1.00000E+31        6.96000        46300.0
02-11-2007 07:00:00.000         1.05000       6.20000       304.900      0.590000      -2.11000      -2.43000       3.36000       304.000  -1.00000E+31  -1.00000E+31        9.66000        65300.0
02-11-2007 08:00:00.000         1.05000       6.20000       304.900       1.88000      -1.72000      -1.79000       3.21000       301.000  -1.00000E+31  -1.00000E+31        8.83000        66800.0
02-11-2007 09:00:00.000         1.05000       6.20000       304.900     -0.420000      -2.45000      0.340000       3.44000       308.000  -1.00000E+31  -1.00000E+31        6.71000        51800.0
02-11-2007 10:00:00.000         1.05000       6.20000       305.000       1.17000      -2.33000     -0.590000       2.90000       295.000  -1.00000E+31  -1.00000E+31        8.08000        86800.0
02-11-2007 11:00:00.000         1.05000       6.20000       305.000       2.66000      -1.41000     -0.550000       3.16000       315.000  -1.00000E+31  -1.00000E+31        5.53000        60300.0
02-11-2007 12:00:00.000         1.05000       6.10000       305.100       2.83000      -1.40000      0.140000       3.19000       314.000  -1.00000E+31  -1.00000E+31        5.21000        48400.0
02-11-2007 13:00:00.000         1.05000       6.10000       305.100       2.85000     -0.840000    -0.0500000       2.98000       316.000  -1.00000E+31  -1.00000E+31        5.92000        51900.0
02-11-2007 14:00:00.000         1.05000       6.10000       305.100       2.90000     -0.750000     -0.130000       3.02000       312.000  -1.00000E+31  -1.00000E+31        5.67000        54500.0
02-11-2007 15:00:00.000         1.05000       6.10000       305.200       1.32000      -1.77000     -0.890000       2.57000       299.000  -1.00000E+31  -1.00000E+31        7.40000        79500.0
02-11-2007 16:00:00.000         1.05000       6.10000       305.200      0.340000      -2.26000      0.510000       2.44000       301.000  -1.00000E+31  -1.00000E+31        7.17000        71800.0
