               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************

     PROJECT                  STP>Solar Terrestrial Probes
     SOURCE_NAME              sta>Solar Terrestrial Relations Observatory Ahead of the Sun-Earth Line
     DISCIPLINE               Solar Physics>Heliospheric Physics
     DATA_TYPE                COHO1HR>1 Hour Time Resolution from cohoweb
     DESCRIPTOR               MAG_PLASMA>Merged Trajectory, Magnetic Field, and Plasma
     DATA_VERSION             1
     TEXT                     The Solar-Terrestrial Relations Observatory (STEREO) mission includes two spacecraft                   
     TEXT                      respectively lagging (STEREO A) and leading (STEREO B) the Earth in heliocentric                      
     TEXT                      orbit around the Sun for remote 3-D imaging and radio observations of coronal                         
     TEXT                      mass ejections (CMEs).  These events are responsible for large solar energetic                        
     TEXT                      particle events in interplanetary space and are the primary cause of major                            
     TEXT                      geomagnetic storms at Earth. The two spacecraft are launched to drift slowly                          
     TEXT                      away from the Earth in opposite directions at about 10 degrees per year for                           
     TEXT                      the lagging spacecraft and 20 degrees per year for the leading one. Optimal                           
     TEXT                      longitudinal separation of about sixty degrees is achieved after two years.                           
     TEXT                      Afterwards the separation gradually increases beyond the design lifetime of                           
     TEXT                      two years with the possibility of extended mission observations at larger angles.                     
     TEXT                      Science instruments selected for STEREO include the Sun Earth Connection Coronal                      
     TEXT                      and Heliospheric Investigation (SECCHI) for extreme ultraviolet (EUV), white-light                    
     TEXT                      coronographic, and heliospheric imaging, the STEREO/WAVES (SWAVES) interplanetary                     
     TEXT                      radio burst tracker, the In situ Measurements of Particles and CME Transients                         
     TEXT                      (IMPACT) investigation for in-situ sampling the 3-D distribution and plasma                           
     TEXT                      characteristics of solar energetic particles and the interplanetary magnetic                          
     TEXT                      field, and the PLAsma and SupraThermal Ion and Composition (PLASTIC) experiment                       
     TEXT                      to measure elemental and charge composition of ambient and CME plasma ions.                           
     TEXT                      STEREO data recorded and stored onboard each spacecraft will be downlinked                            
     TEXT                      through the NASA Deep Space Network on a daily schedule. Real-time space weather                      
     TEXT                      data will be continuously transmitted through a separate beacon system to NASA                        
                               and non-NASA receiving stations.                                                                      
                              About STEREO data in COHOWEB STEREO-A and -B data are from the magnetometer                            
                               of the IMPACT package and from the PLASTIC plasma detector.  Principal Investigators                  
                               for these packages are Janet Luhmann (UCB) and Antoinette Galvin (UNH), respectively.                 
                                Magnetic field  data were obtained as 10-min averages from the UCLA web site                         
                               at http://aten.igpp.ucla.edu/forms/stereo/ascii_PLASTIC_10m_new.html, courtesy                        
                               of C.T. Russell.  COHOWeb's magnetic field hourly averages were created at                            
                               GSFC/SPDF by averaging over the six 10-min averages falling within each hour.                         
                                Hourly plasma parameter data, including plasma flow direction angles for STEREO-A                    
                               but not yet for STEREO B (as of 7/11/2010), were obtained from UNH via http://fiji.sr.unh.edu/1dmax_as
     NSSDC_ID                 2006-047A
     LOGICAL_FILE_ID          sta_coho1hr_merged_mag_plasma_00000000_v01
     LOGICAL_SOURCE           sta_coho1hr_merged_mag_plasma
     LOGICAL_SOURCE_DESCR     Merged hourly magnetic field, plasma and ephermis data
     PI_NAME                  Natasha Papitashvili
     PI_AFFILIATION           NASA/GSFC
     MISSION_GROUP            STEREO
     INSTRUMENT_TYPE          Magnetic Fields (space)
                              Plasma and Solar Wind
                              Ephemeris
     TIME_RESOLUTION          1 hour
     LINK_TEXT                COHO dataset
                              Additional analysis tools for these data from the
     LINK_TITLE               Documentation
                              COHOWeb service
     HTTP_LINK                http://cohoweb.gsfc.nasa.gov/html/cw_data.html
                              http://cohoweb.gsfc.nasa.gov

               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************

 1. Time, beginning of interval
 2. Radial Distance
 3. HelioGraphic Inertial (HGI) latitude of the spacecraft position at the start of data interval
 4. HelioGraphic Inertial (HGI) longitude of the spacecraft position at the start of data interval
 5. IMF BR in RTN (Radial-Tangential-Normal) coordinate system
 6. IMF BT in RTN coordinate system
 7. IMF BN in RTN coordinate system
 8. B scalar
 9. SW plasma speed
10. SW lat angle in RTN coordinate system
11. SW lon angle in RTN coordinate system
12. SW plasma density
13. SW plasma Temperature

EPOCH                   RADIAL_DISTANCE       HGI_LAT      HGI_LONG      BR_(RTN)      BT_(RTN)      BN_(RTN)             B  PLASMA_SPEED  SW_LAT_(RTN)  SW_LON_(RTN) SW_PLASMA_DENS SW_PLASMA_TEMP
dd-mm-yyyy_hh:mm:ss.ms               AU           deg           deg            nT            nT            nT            nT          km/s           deg           deg          N/cm3          deg_K
01-01-2007 00:00:00.000        0.980000      -3.10000       24.3000     -0.520000      -2.52000      0.230000       3.04000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 01:00:00.000        0.980000      -3.10000       24.3000    -0.0200000      -1.74000     -0.350000       3.38000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 02:00:00.000        0.980000      -3.10000       24.4000     -0.380000       1.37000      -2.19000       3.89000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 03:00:00.000        0.980000      -3.10000       24.4000      -1.97000       2.43000     -0.650000       4.24000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 04:00:00.000        0.980000      -3.10000       24.5000      -2.62000       3.36000    -0.0200000       4.78000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 05:00:00.000        0.980000      -3.10000       24.5000      -3.03000       4.04000      -2.19000       5.77000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 06:00:00.000        0.980000      -3.10000       24.5000      -2.63000       4.42000      0.530000       5.54000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 07:00:00.000        0.980000      -3.10000       24.6000      -3.79000       4.13000       1.55000       6.70000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 08:00:00.000        0.980000      -3.10000       24.6000      -3.56000       6.16000      0.130000       7.84000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 09:00:00.000        0.980000      -3.10000       24.7000      0.270000       3.64000      -6.30000       7.94000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 10:00:00.000        0.980000      -3.10000       24.7000      -1.52000       4.46000      -6.76000       9.37000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 11:00:00.000        0.980000      -3.10000       24.8000      -2.68000       8.00000      -3.88000       10.1500  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 12:00:00.000        0.980000      -3.10000       24.8000      -5.81000       8.56000       3.08000       11.2800  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 13:00:00.000        0.980000      -3.20000       24.8000      -5.67000       6.10000       8.50000       12.1500  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 14:00:00.000        0.980000      -3.20000       24.9000      0.440000      -2.74000       2.80000       8.15000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 15:00:00.000        0.980000      -3.20000       24.9000       1.12000      -8.08000     -0.920000       10.0500  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 16:00:00.000        0.980000      -3.20000       25.0000      0.600000      -5.56000     -0.190000       9.00000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 17:00:00.000        0.980000      -3.20000       25.0000      0.650000      -4.85000       9.10000       11.6200  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 18:00:00.000        0.980000      -3.20000       25.0000       2.07000      -9.19000       3.30000       10.7800  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 19:00:00.000        0.980000      -3.20000       25.1000       2.01000      -7.45000       7.01000       11.7900  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 20:00:00.000        0.980000      -3.20000       25.1000       1.16000      -7.22000       5.52000       10.8500  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 21:00:00.000        0.980000      -3.20000       25.2000       2.66000      -5.28000       1.05000       8.69000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 22:00:00.000        0.980000      -3.20000       25.2000       7.52000      -7.87000      -3.03000       11.7000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
01-01-2007 23:00:00.000        0.980000      -3.20000       25.3000       7.10000      -8.64000      -5.48000       13.3600  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 00:00:00.000        0.980000      -3.20000       25.3000       2.52000      -9.30000       3.12000       10.8100  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 01:00:00.000        0.980000      -3.20000       25.3000     -0.360000      -6.50000      -2.29000       10.6500  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 02:00:00.000        0.980000      -3.20000       25.4000       1.94000      -5.51000      0.510000       8.12000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 03:00:00.000        0.980000      -3.20000       25.4000      0.330000     -0.570000      -1.23000       6.28000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 04:00:00.000        0.980000      -3.20000       25.5000      -4.29000      0.870000     -0.440000       6.14000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 05:00:00.000        0.980000      -3.20000       25.5000       1.34000      -1.95000      -1.82000       6.05000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 06:00:00.000        0.980000      -3.20000       25.6000       3.18000      -2.31000       1.85000       5.65000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 07:00:00.000        0.980000      -3.20000       25.6000       1.90000      -5.16000       5.41000       8.31000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 08:00:00.000        0.980000      -3.20000       25.7000      0.700000      -4.31000      0.570000       6.49000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 09:00:00.000        0.980000      -3.20000       25.7000       1.44000      -3.20000     -0.880000       5.51000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 10:00:00.000        0.980000      -3.20000       25.8000       1.50000      -3.13000      -3.71000       5.78000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 11:00:00.000        0.980000      -3.20000       25.8000       3.76000      -2.19000      -2.26000       5.35000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 12:00:00.000        0.980000      -3.30000       25.8000       4.04000     -0.900000      -3.48000       5.73000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 13:00:00.000        0.970000      -3.30000       25.9000       5.02000      -1.88000     -0.320000       5.95000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 14:00:00.000        0.970000      -3.30000       25.9000       6.00000      -1.34000     -0.950000       6.42000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 15:00:00.000        0.970000      -3.30000       26.0000       5.18000      -3.39000      0.400000       6.70000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 16:00:00.000        0.970000      -3.30000       26.0000       4.93000      -4.06000     -0.520000       6.98000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 17:00:00.000        0.970000      -3.30000       26.1000       5.48000      -3.31000       1.31000       7.51000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 18:00:00.000        0.970000      -3.30000       26.1000       5.90000      -5.70000      -1.02000       8.64000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 19:00:00.000        0.970000      -3.30000       26.2000       5.43000      -5.69000       1.86000       8.51000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 20:00:00.000        0.970000      -3.30000       26.2000       6.34000      0.100000       1.02000       8.19000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
02-01-2007 21:00:00.000        0.970000      -3.30000       26.3000       6.18000      -4.90000     -0.780000       8.53000  -1.00000E+31  -1.00000E+31  -1.00000E+31   -1.00000E+31   -1.00000E+31
